"","sex","stress","treatment","animal_id","time_min","corticosterone","plate"
"1","Females","non-stressed","DMSO",1,0,44.8522088,"Plate5"
"2","Females","non-stressed","DMSO",6,0,17.01859417,"Plate5"
"3","Females","non-stressed","DMSO",20,0,50.14484221,"Plate5"
"4","Females","non-stressed","DMSO",21,0,17.01859417,"Plate5"
"5","Females","non-stressed","DMSO",28,0,20.02624785,"Plate5"
"6","Females","non-stressed","DMSO",29,0,43.1349659,"Plate5"
"7","Females","non-stressed","DMSO",31,0,38.13763296,"Plate5"
"8","Females","non-stressed","DMSO",1,15,72.8880061433124,"Plate1"
"9","Females","non-stressed","DMSO",6,15,101.345108399098,"Plate1"
"10","Females","non-stressed","DMSO",20,15,115.809496781407,"Plate1"
"11","Females","non-stressed","DMSO",21,15,78.8264388168557,"Plate1"
"12","Females","non-stressed","DMSO",28,15,86.234308768361,"Plate1"
"13","Females","non-stressed","DMSO",29,15,117.125917080641,"Plate1"
"14","Females","non-stressed","DMSO",31,15,138.323459057125,"Plate1"
"15","Females","non-stressed","DMSO",1,30,173.057933624562,"Plate1"
"16","Females","non-stressed","DMSO",6,30,146.524963746842,"Plate1"
"17","Females","non-stressed","DMSO",20,30,180.395371626912,"Plate2"
"18","Females","non-stressed","DMSO",21,30,125.351742781972,"Plate2"
"19","Females","non-stressed","DMSO",28,30,144.327090081033,"Plate2"
"20","Females","non-stressed","DMSO",29,30,170.020440175882,"Plate2"
"21","Females","non-stressed","DMSO",31,30,170.439884545943,"Plate2"
"22","Females","non-stressed","DMSO",1,180,115.462019001869,"Plate2"
"23","Females","non-stressed","DMSO",6,180,162.502031133003,"Plate2"
"24","Females","non-stressed","DMSO",20,180,151.932192889172,"Plate2"
"25","Females","non-stressed","DMSO",21,180,190.696392055922,"Plate2"
"26","Females","non-stressed","DMSO",28,180,198.936566612918,"Plate2"
"27","Females","non-stressed","DMSO",29,180,211.053402405949,"Plate2"
"28","Females","non-stressed","DMSO",31,180,195.824301785607,"Plate2"
"29","Females","stressed","DMSO",4,0,77.08768725,"Plate5"
"30","Females","stressed","DMSO",7,0,37.38644627,"Plate5"
"31","Females","stressed","DMSO",10,0,59.35858245,"Plate5"
"32","Females","stressed","DMSO",13,0,49.90308365,"Plate5"
"33","Females","stressed","DMSO",18,0,76.71215607,"Plate5"
"34","Females","stressed","DMSO",24,0,57.66843355,"Plate5"
"35","Females","stressed","DMSO",25,0,67.28696417,"Plate5"
"36","Females","stressed","DMSO",32,0,27.77909551,"Plate5"
"37","Females","stressed","DMSO",4,15,162.488155128009,"Plate1"
"38","Females","stressed","DMSO",7,15,126.498223956499,"Plate1"
"39","Females","stressed","DMSO",10,15,102.774307344512,"Plate1"
"40","Females","stressed","DMSO",13,15,128.000056774066,"Plate1"
"41","Females","stressed","DMSO",18,15,174.235118111751,"Plate1"
"42","Females","stressed","DMSO",24,15,135.772046824972,"Plate1"
"43","Females","stressed","DMSO",25,15,140.649857925834,"Plate1"
"44","Females","stressed","DMSO",32,15,122.523223021399,"Plate1"
"45","Females","stressed","DMSO",4,30,166.831312917688,"Plate1"
"46","Females","stressed","DMSO",7,30,118.14314367274,"Plate1"
"47","Females","stressed","DMSO",10,30,175.779271272384,"Plate1"
"48","Females","stressed","DMSO",13,30,179.807715059119,"Plate2"
"49","Females","stressed","DMSO",18,30,203.451044928019,"Plate2"
"50","Females","stressed","DMSO",24,30,157.508599576635,"Plate2"
"51","Females","stressed","DMSO",25,30,162.220207787556,"Plate2"
"52","Females","stressed","DMSO",32,30,141.56207634698,"Plate2"
"53","Females","stressed","DMSO",4,180,161.095080338773,"Plate2"
"54","Females","stressed","DMSO",7,180,132.580896782037,"Plate2"
"55","Females","stressed","DMSO",10,180,89.3013994680503,"Plate2"
"56","Females","stressed","DMSO",13,180,234.029814181068,"Plate2"
"57","Females","stressed","DMSO",18,180,227.713615478589,"Plate2"
"58","Females","stressed","DMSO",24,180,187.404966768742,"Plate2"
"59","Females","stressed","DMSO",25,180,161.741279487767,"Plate2"
"60","Females","stressed","DMSO",32,180,181.018036012929,"Plate2"
"61","Females","non-stressed","PROTAC",2,0,41.06107663,"Plate6"
"62","Females","non-stressed","PROTAC",5,0,52.37148479,"Plate5"
"63","Females","non-stressed","PROTAC",11,0,76.33863539,"Plate5"
"64","Females","non-stressed","PROTAC",16,0,46.18061993,"Plate5"
"65","Females","non-stressed","PROTAC",2,15,96.613105190204,"Plate1"
"66","Females","non-stressed","PROTAC",5,15,92.8561752955061,"Plate1"
"67","Females","non-stressed","PROTAC",11,15,105.897304604565,"Plate1"
"68","Females","non-stressed","PROTAC",16,15,108.785892721935,"Plate1"
"69","Females","non-stressed","PROTAC",2,30,187.863684240134,"Plate1"
"70","Females","non-stressed","PROTAC",5,30,151.225907402914,"Plate1"
"71","Females","non-stressed","PROTAC",11,30,139.489585659293,"Plate1"
"72","Females","non-stressed","PROTAC",16,30,154.039544362732,"Plate2"
"73","Females","non-stressed","PROTAC",2,180,158.219708584045,"Plate2"
"74","Females","non-stressed","PROTAC",5,180,172.287706569909,"Plate2"
"75","Females","non-stressed","PROTAC",11,180,163.570763954664,"Plate2"
"76","Females","non-stressed","PROTAC",16,180,123.857896527877,"Plate2"
"77","Females","stressed","PROTAC",3,0,34.67908854,"Plate5"
"78","Females","stressed","PROTAC",8,0,44.20114093,"Plate5"
"79","Females","stressed","PROTAC",9,0,44.8522088,"Plate5"
"80","Females","stressed","PROTAC",14,0,42.09187599,"Plate5"
"81","Females","stressed","PROTAC",17,0,57.11581983,"Plate5"
"82","Females","stressed","PROTAC",19,0,65.99915373,"Plate5"
"83","Females","stressed","PROTAC",22,0,26.19623498,"Plate5"
"84","Females","stressed","PROTAC",27,0,60.22227274,"Plate5"
"85","Females","stressed","PROTAC",3,15,106.652345597499,"Plate1"
"86","Females","stressed","PROTAC",8,15,107.202247347933,"Plate1"
"87","Females","stressed","PROTAC",9,15,108.049935470116,"Plate1"
"88","Females","stressed","PROTAC",14,15,101.843932244735,"Plate1"
"89","Females","stressed","PROTAC",17,15,131.995781758749,"Plate1"
"90","Females","stressed","PROTAC",19,15,128.225145441462,"Plate1"
"91","Females","stressed","PROTAC",22,15,84.9298807219919,"Plate1"
"92","Females","stressed","PROTAC",27,15,119.364636477095,"Plate1"
"93","Females","stressed","PROTAC",3,30,172.337901076758,"Plate1"
"94","Females","stressed","PROTAC",8,30,195.661817627351,"Plate1"
"95","Females","stressed","PROTAC",9,30,167.528995145342,"Plate1"
"96","Females","stressed","PROTAC",14,30,148.633110269335,"Plate2"
"97","Females","stressed","PROTAC",17,30,181.260407674911,"Plate2"
"98","Females","stressed","PROTAC",19,30,141.700167107215,"Plate2"
"99","Females","stressed","PROTAC",22,30,162.46503209817,"Plate2"
"100","Females","stressed","PROTAC",27,30,163.142105478693,"Plate2"
"101","Females","stressed","PROTAC",3,180,103.494307328298,"Plate2"
"102","Females","stressed","PROTAC",8,180,172.072103767897,"Plate2"
"103","Females","stressed","PROTAC",9,180,145.398573528772,"Plate2"
"104","Females","stressed","PROTAC",14,180,108.250281545669,"Plate2"
"105","Females","stressed","PROTAC",17,180,143.981440840843,"Plate2"
"106","Females","stressed","PROTAC",19,180,181.541055539531,"Plate2"
"107","Females","stressed","PROTAC",22,180,189.806794300867,"Plate2"
"108","Females","stressed","PROTAC",27,180,152.105242020976,"Plate2"
"109","Males","non-stressed","DMSO",33,0,32.9654572,"Plate5"
"110","Males","non-stressed","DMSO",38,0,54.23465757,"Plate6"
"111","Males","non-stressed","DMSO",44,0,45.33162465,"Plate6"
"112","Males","non-stressed","DMSO",52,0,38.81128909,"Plate6"
"113","Males","non-stressed","DMSO",58,0,30.54685374,"Plate6"
"114","Males","non-stressed","DMSO",63,0,19.89988365,"Plate6"
"115","Males","non-stressed","DMSO",68,0,16.58357308,"Plate6"
"116","Males","non-stressed","DMSO",33,15,112.191801786916,"Plate1"
"117","Males","non-stressed","DMSO",38,15,141.74239748183,"Plate3"
"118","Males","non-stressed","DMSO",44,15,87.2330876797395,"Plate3"
"119","Males","non-stressed","DMSO",52,15,65.8262670948724,"Plate3"
"120","Males","non-stressed","DMSO",58,15,124.296190141723,"Plate3"
"121","Males","non-stressed","DMSO",63,15,98.1633549245335,"Plate3"
"122","Males","non-stressed","DMSO",68,15,88.4893801436318,"Plate3"
"123","Males","non-stressed","DMSO",33,30,148.522641871629,"Plate3"
"124","Males","non-stressed","DMSO",38,30,145.513868078788,"Plate3"
"125","Males","non-stressed","DMSO",44,30,119.266569903129,"Plate3"
"126","Males","non-stressed","DMSO",52,30,120.258088333218,"Plate3"
"127","Males","non-stressed","DMSO",58,30,223.119499443345,"Plate3"
"128","Males","non-stressed","DMSO",63,30,120.907309732861,"Plate4"
"129","Males","non-stressed","DMSO",68,30,105.78132655375,"Plate4"
"130","Males","non-stressed","DMSO",33,180,139.583591487387,"Plate4"
"131","Males","non-stressed","DMSO",38,180,140.266721968095,"Plate4"
"132","Males","non-stressed","DMSO",44,180,115.165650445933,"Plate4"
"133","Males","non-stressed","DMSO",52,180,149.624096014085,"Plate4"
"134","Males","non-stressed","DMSO",58,180,147.784958347054,"Plate4"
"135","Males","non-stressed","DMSO",63,180,137.027022134538,"Plate4"
"136","Males","non-stressed","DMSO",68,180,126.802715008882,"Plate4"
"137","Males","stressed","DMSO",36,0,104.4937557,"Plate5"
"138","Males","stressed","DMSO",39,0,68.12548041,"Plate6"
"139","Males","stressed","DMSO",42,0,48.51969194,"Plate6"
"140","Males","stressed","DMSO",45,0,40.57241835,"Plate6"
"141","Males","stressed","DMSO",55,0,44.18248838,"Plate6"
"142","Males","stressed","DMSO",60,0,50.72104235,"Plate6"
"143","Males","stressed","DMSO",65,0,50.69080331,"Plate6"
"144","Males","stressed","DMSO",72,0,47.99913692,"Plate6"
"145","Males","stressed","DMSO",36,15,160.089398909838,"Plate1"
"146","Males","stressed","DMSO",39,15,94.5249179454539,"Plate3"
"147","Males","stressed","DMSO",42,15,106.490181528345,"Plate3"
"148","Males","stressed","DMSO",45,15,94.4743845812316,"Plate3"
"149","Males","stressed","DMSO",55,15,90.9232733418689,"Plate3"
"150","Males","stressed","DMSO",60,15,117.750575654024,"Plate3"
"151","Males","stressed","DMSO",65,15,85.4954457375658,"Plate3"
"152","Males","stressed","DMSO",72,15,129.538857477062,"Plate3"
"153","Males","stressed","DMSO",36,30,251.810538747507,"Plate3"
"154","Males","stressed","DMSO",39,30,160.030511341605,"Plate3"
"155","Males","stressed","DMSO",42,30,193.982255103298,"Plate3"
"156","Males","stressed","DMSO",45,30,119.242069362474,"Plate3"
"157","Males","stressed","DMSO",55,30,150.021342794946,"Plate3"
"158","Males","stressed","DMSO",60,30,150.524082864193,"Plate4"
"159","Males","stressed","DMSO",65,30,113.120640445414,"Plate4"
"160","Males","stressed","DMSO",72,30,134.725875635295,"Plate4"
"161","Males","stressed","DMSO",36,180,154.837391657394,"Plate4"
"162","Males","stressed","DMSO",39,180,129.147657564106,"Plate4"
"163","Males","stressed","DMSO",42,180,164.136924582887,"Plate4"
"164","Males","stressed","DMSO",45,180,119.791812623818,"Plate4"
"165","Males","stressed","DMSO",55,180,123.568947242802,"Plate4"
"166","Males","stressed","DMSO",60,180,137.343169006715,"Plate4"
"167","Males","stressed","DMSO",65,180,129.641164451521,"Plate4"
"168","Males","stressed","DMSO",72,180,130.539157249302,"Plate4"
"169","Males","non-stressed","PROTAC",34,0,45.29108161,"Plate5"
"170","Males","non-stressed","PROTAC",37,0,42.92452243,"Plate5"
"171","Males","non-stressed","PROTAC",43,0,38.81027655,"Plate6"
"172","Males","non-stressed","PROTAC",48,0,29.07517483,"Plate6"
"173","Males","non-stressed","PROTAC",49,0,21.42809508,"Plate6"
"174","Males","non-stressed","PROTAC",56,0,40.59530806,"Plate6"
"175","Males","non-stressed","PROTAC",59,0,44.55708276,"Plate6"
"176","Males","non-stressed","PROTAC",61,0,18.07330231,"Plate6"
"177","Males","non-stressed","PROTAC",34,15,153.932158669032,"Plate1"
"178","Males","non-stressed","PROTAC",37,15,143.636903671263,"Plate3"
"179","Males","non-stressed","PROTAC",43,15,190.343305309588,"Plate3"
"180","Males","non-stressed","PROTAC",48,15,48.4124034872532,"Plate3"
"181","Males","non-stressed","PROTAC",49,15,66.6689345967843,"Plate3"
"182","Males","non-stressed","PROTAC",56,15,111.790214705511,"Plate3"
"183","Males","non-stressed","PROTAC",59,15,88.3534698792751,"Plate3"
"184","Males","non-stressed","PROTAC",61,15,94.4330630723338,"Plate3"
"185","Males","non-stressed","PROTAC",34,30,181.584286869126,"Plate3"
"186","Males","non-stressed","PROTAC",37,30,206.156231311947,"Plate3"
"187","Males","non-stressed","PROTAC",43,30,272.003517585322,"Plate3"
"188","Males","non-stressed","PROTAC",48,30,103.476360264329,"Plate3"
"189","Males","non-stressed","PROTAC",49,30,131.796849328513,"Plate3"
"190","Males","non-stressed","PROTAC",56,30,125.970933926935,"Plate3"
"191","Males","non-stressed","PROTAC",59,30,122.405977527143,"Plate4"
"192","Males","non-stressed","PROTAC",61,30,145.685049042057,"Plate4"
"193","Males","non-stressed","PROTAC",34,180,145.434341414514,"Plate4"
"194","Males","non-stressed","PROTAC",37,180,145.585492208105,"Plate4"
"195","Males","non-stressed","PROTAC",43,180,181.443838451614,"Plate4"
"196","Males","non-stressed","PROTAC",48,180,105.397612419379,"Plate4"
"197","Males","non-stressed","PROTAC",49,180,127.487976307342,"Plate4"
"198","Males","non-stressed","PROTAC",56,180,130.349973231927,"Plate4"
"199","Males","non-stressed","PROTAC",59,180,143.515796536941,"Plate4"
"200","Males","non-stressed","PROTAC",61,180,140.885743335657,"Plate4"
"201","Males","stressed","PROTAC",35,0,38.51801941,"Plate5"
"202","Males","stressed","PROTAC",40,0,34.01637432,"Plate6"
"203","Males","stressed","PROTAC",41,0,10.53517795,"Plate6"
"204","Males","stressed","PROTAC",57,0,28.57496512,"Plate6"
"205","Males","stressed","PROTAC",64,0,25.271488,"Plate6"
"206","Males","stressed","PROTAC",67,0,7.545599974,"Plate6"
"207","Males","stressed","PROTAC",69,0,32.80815255,"Plate6"
"208","Males","stressed","PROTAC",74,0,18.04855793,"Plate6"
"209","Males","stressed","PROTAC",35,15,102.093207300805,"Plate1"
"210","Males","stressed","PROTAC",40,15,59.6715116693627,"Plate3"
"211","Males","stressed","PROTAC",41,15,65.1490073724902,"Plate3"
"212","Males","stressed","PROTAC",57,15,117.311671058491,"Plate3"
"213","Males","stressed","PROTAC",64,15,76.1295379042004,"Plate3"
"214","Males","stressed","PROTAC",67,15,87.902894841482,"Plate3"
"215","Males","stressed","PROTAC",69,15,80.3203941068759,"Plate3"
"216","Males","stressed","PROTAC",74,15,121.041439100022,"Plate3"
"217","Males","stressed","PROTAC",35,30,153.021366967395,"Plate3"
"218","Males","stressed","PROTAC",40,30,98.7472772118138,"Plate3"
"219","Males","stressed","PROTAC",41,30,111.73379828121,"Plate3"
"220","Males","stressed","PROTAC",57,30,171.911900738128,"Plate3"
"221","Males","stressed","PROTAC",64,30,92.8134460517409,"Plate4"
"222","Males","stressed","PROTAC",67,30,153.03414386001,"Plate4"
"223","Males","stressed","PROTAC",69,30,103.869504310057,"Plate4"
"224","Males","stressed","PROTAC",74,30,144.808134879551,"Plate4"
"225","Males","stressed","PROTAC",35,180,156.889977728715,"Plate4"
"226","Males","stressed","PROTAC",40,180,103.928762895693,"Plate4"
"227","Males","stressed","PROTAC",41,180,132.198609650734,"Plate4"
"228","Males","stressed","PROTAC",57,180,117.892311882146,"Plate4"
"229","Males","stressed","PROTAC",64,180,119.398370683013,"Plate4"
"230","Males","stressed","PROTAC",67,180,135.529392816892,"Plate4"
"231","Males","stressed","PROTAC",69,180,112.152128240976,"Plate4"
"232","Males","stressed","PROTAC",74,180,94.6398865041032,"Plate4"
