DEG;Gene;Overlap sperm ATAC;GRE in gene;gene body motifs connected to GR
DEA.PROTAC;1;1;0;0
DEA.PROTAC;2;0;0;1
DEA.PROTAC;3;0;0;1
DEA.PROTAC;4;1;0;1
DEA.PROTAC;5;0;0;1
DEA.PROTAC;6;0;0;0
DEA.PROTAC;7;0;1;1
DEA.PROTAC;8;0;0;1
DEA.PROTAC;9;1;0;1
DEA.PROTAC;10;1;1;1
DEA.PROTAC;11;0;0;1
DEA.PROTAC;12;0;0;1
DEA.PROTAC;13;1;1;1
DEA.PROTAC;14;0;0;1
DEA.PROTAC;15;1;1;1
DEA.PROTAC;16;0;0;1
DEA.PROTAC;17;0;0;1
DEA.PROTAC;18;1;0;1
DEA.PROTAC;19;0;0;0
DEA.PROTAC;20;0;0;0
DEA.PROTAC;21;0;0;0
DEA.PROTAC;22;0;0;0
DEA.PROTAC;23;1;1;1
DEA.PROTAC;24;1;0;1
DEA.PROTAC;25;0;0;0
DEA.PROTAC;26;0;1;1
DEA.PROTAC;27;1;0;1
DEA.PROTAC;28;1;0;1
DEA.PROTAC;29;1;1;1
DEA.PROTAC;30;0;1;1
DEA.PROTAC;31;0;0;0
DEA.PROTAC;32;0;0;0
DEA.PROTAC;33;1;1;1
DEA.PROTAC;34;0;1;1
DEA.PROTAC;35;0;0;1
DEA.PROTAC;36;0;0;0
DEA.PROTAC;37;0;0;1
DEA.PROTAC;38;1;0;1
DEA.PROTAC;39;1;0;1
DEA.PROTAC;40;1;0;1
DEA.PROTAC;41;0;0;1
DEA.PROTAC;42;1;0;1
DEA.PROTAC;43;0;0;1
DEA.PROTAC;44;1;0;1
DEA.PROTAC;45;0;0;0
DEA.PROTAC;46;0;0;1
DEA.PROTAC;47;0;0;1
DEA.PROTAC;48;1;0;1
DEA.PROTAC;49;1;0;0
DEA.PROTAC;50;1;0;1
DEA.PROTAC;51;1;0;1
DEA.PROTAC;52;1;0;1
DEA.PROTAC;53;1;0;1
DEA.PROTAC;54;1;1;1
DEA.PROTAC;55;0;0;0
DEA.PROTAC;56;1;0;1
DEA.PROTAC;57;1;0;1
DEA.PROTAC;58;1;1;1
DEA.PROTAC;59;0;0;1
DEA.PROTAC;60;1;0;1
DEA.PROTAC;61;1;1;1
DEA.PROTAC;62;1;1;1
DEA.PROTAC;63;1;0;1
DEA.PROTAC;64;1;0;1
DEA.PROTAC;65;0;0;0
DEA.PROTAC;66;1;0;1
DEA.PROTAC;67;1;1;1
DEA.PROTAC;68;1;1;1
DEA.PROTAC;69;1;0;1
DEA.PROTAC;70;1;0;1
DEA.PROTAC;71;0;0;1
DEA.PROTAC;72;1;1;1
DEA.PROTAC;73;1;0;1
DEA.PROTAC;74;1;0;1
DEA.PROTAC;75;1;0;1
DEA.PROTAC;76;0;0;1
DEA.PROTAC;77;1;1;1
DEA.PROTAC;78;1;0;0
DEA.PROTAC;79;1;0;1
DEA.PROTAC;80;1;0;1
DEA.PROTAC;81;1;0;1
