"ID" "name" "Binom_Genome_Fraction" "Binom_Expected" "Binom_Observed_Region_Hits" "Binom_Fold_Enrichment" "Binom_Region_Set_Coverage" "Binom_Raw_PValue" "Binom_Adjp_BH" "Hyper_Total_Genes" "Hyper_Expected" "Hyper_Observed_Gene_Hits" "Hyper_Fold_Enrichment" "Hyper_Gene_Set_Coverage" "Hyper_Term_Gene_Coverage" "Hyper_Raw_PValue" "Hyper_Adjp_BH"
"1" "GO:0006259" "DNA metabolic process" 0.0424818 4.588034 17 3.70529 0.1574074 3.251274e-06 0.021832843725 657 5.895957 17 2.883332 0.08854167 0.02587519 9.464722e-05 0.44680097
"2" "GO:0006281" "DNA repair" 0.0249957 2.699535 13 4.815643 0.1203704 3.335805e-06 0.021832843725 408 3.661416 13 3.550539 0.06770833 0.03186275 8.560821e-05 0.44680097
"3" "GO:0006974" "cellular response to DNA damage stimulus" 0.04336088 4.682976 15 3.203092 0.1388889 6.882124e-05 0.300290010533333 636 5.707502 15 2.62812 0.078125 0.02358491 0.0006473236 0.733031011533333
"4" "GO:0031848" "protection from non-homologous end joining at telomere" 0.0001389332 0.01500479 2 133.2908 0.01851852 0.0001104405 0.3143016338 6 0.05384436 2 37.1441 0.01041667 0.3333333 0.00117359 0.853460727777778
"5" "GO:2000520" "regulation of immunological synapse formation" 0.0001448844 0.01564752 2 127.8158 0.01851852 0.0001200541 0.3143016338 4 0.03589624 2 55.71615 0.01041667 0.5 0.0004750346 0.733031011533333
"6" "GO:1901315" "negative regulation of histone H2A K63-linked ubiquitination" 0.0001877477 0.02027675 2 98.63515 0.01851852 0.0002009875 0.438487729166667 3 0.02692218 2 74.28819 0.01041667 0.6666667 0.000238931 0.44680097
"7" "GO:0044085" "cellular component biogenesis" 0.1668366 18.01836 33 1.831466 0.3055556 0.0002645768 0.44961826525 2237 20.07497 34 1.693651 0.1770833 0.01519893 0.001516834 0.945493193333333
"8" "GO:1900045" "negative regulation of protein K63-linked ubiquitination" 0.0002197748 0.02373568 2 84.26135 0.01851852 0.0002747858 0.44961826525 5 0.0448703 2 44.57292 0.01041667 0.4 0.0007870433 0.733031011533333
"9" "GO:0033554" "cellular response to stress" 0.1061004 11.45884 24 2.094453 0.2222222 0.0003525113 0.472899812 1379 12.37523 24 1.939358 0.125 0.01740392 0.00141754 0.92777993
"10" "GO:0048102" "autophagic cell death" 0.0002522861 0.0272469 2 73.40285 0.01851852 0.000361268 0.472899812 7 0.06281842 2 31.8378 0.01041667 0.2857143 0.001633325 0.971828375
"11" "GO:0043247" "telomere maintenance in response to DNA damage" 0.0002725812 0.02943877 2 67.93762 0.01851852 0.0004211269 0.501141011 9 0.08076653 2 24.76273 0.01041667 0.2222222 0.002767056 1
"12" "GO:0006996" "organelle organization" 0.1741927 18.81281 33 1.754124 0.3055556 0.0005874354 0.6407941155 2547 22.85693 34 1.487514 0.1770833 0.01334904 0.01143668 1
"13" "GO:0033182" "regulation of histone ubiquitination" 0.0004059175 0.04383909 2 45.62138 0.01851852 0.0009251582 0.846723421133333 10 0.08974059 2 22.28646 0.01041667 0.2 0.003438443 1
"14" "GO:1903527" "positive regulation of membrane tubulation" 0.0004140776 0.04472038 2 44.72234 0.01851852 0.0009621753 0.846723421133333 3 0.02692218 2 74.28819 0.01041667 0.6666667 0.000238931 0.44680097
"15" "GO:0045953" "negative regulation of natural killer cell mediated cytotoxicity" 0.0004158419 0.04491092 2 44.5326 0.01851852 0.0009702713 0.846723421133333 14 0.1256368 2 15.9189 0.01041667 0.1428571 0.006791169 1
"16" "GO:0050794" "regulation of cellular process" 0.668373 72.18428 87 1.205249 0.8055556 0.001167309 0.878901246666667 11181 100.339 125 1.245777 0.6510417 0.01117968 0.0002026097 0.44680097
"17" "GO:0090527" "actin filament reorganization" 0.0004586851 0.04953799 2 40.37306 0.01851852 0.001176944 0.878901246666667 6 0.05384436 2 37.1441 0.01041667 0.3333333 0.00117359 0.853460727777778
"18" "GO:0002716" "negative regulation of natural killer cell mediated immunity" 0.0004682902 0.05057534 2 39.54496 0.01851852 0.001225923 0.878901246666667 15 0.1346109 2 14.85764 0.01041667 0.1333333 0.007789966 1
"19" "GO:0065007" "biological regulation" 0.7141606 77.12934 91 1.179836 0.8425926 0.001382165 0.878901246666667 12332 110.6681 135 1.219864 0.703125 0.01094713 0.0001870006 0.44680097
"20" "GO:1903525" "regulation of membrane tubulation" 0.0004994018 0.05393539 2 37.0814 0.01851852 0.001391176 0.878901246666667 5 0.0448703 2 44.57292 0.01041667 0.4 0.0007870433 0.733031011533333
"21" "GO:0051276" "chromosome organization" 0.02954783 3.191165 10 3.133652 0.09259259 0.001410002 0.878901246666667 472 4.235756 10 2.360854 0.05208333 0.02118644 0.01047796 1
"22" "GO:0072428" "signal transduction involved in intra-S DNA damage checkpoint" 1.503397e-05 0.001623669 1 615.8892 0.009259259 0.001622363 0.89170552625 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"23" "GO:1903926" "cellular response to bisphenol A" 1.503397e-05 0.001623669 1 615.8892 0.009259259 0.001622363 0.89170552625 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"24" "GO:0000495" "box H/ACA snoRNA 3'-end processing" 1.51503e-05 0.001636233 1 611.16 0.009259259 0.001634907 0.89170552625 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"25" "GO:0032815" "negative regulation of natural killer cell activation" 0.0005928607 0.06402895 2 31.23587 0.01851852 0.001947743 1 8 0.07179247 2 27.85807 0.01041667 0.25 0.002164918 1
"26" "GO:0060039" "pericardium development" 0.004893129 0.5284579 4 7.569193 0.03703704 0.002050343 1 28 0.2512737 4 15.9189 0.02083333 0.1428571 0.0001087236 0.44680097
"27" "GO:0070925" "organelle assembly" 0.0422599 4.564069 12 2.629233 0.1111111 0.002091648 1 597 5.357513 12 2.239845 0.0625 0.0201005 0.007857084 1
"28" "GO:0050789" "regulation of biological process" 0.6887307 74.38291 88 1.183067 0.8148148 0.002273728 1 11715 105.1311 127 1.208015 0.6614583 0.0108408 0.0008310881 0.733031011533333
"29" "GO:0000726" "non-recombinational repair" 0.002390328 0.2581554 3 11.62091 0.02777778 0.002312209 1 31 0.2781958 3 10.78377 0.015625 0.09677419 0.002657965 1
"30" "GO:1905276" "regulation of epithelial tube formation" 0.002565559 0.2770804 3 10.82718 0.02777778 0.002820175 1 19 0.1705071 3 17.59457 0.015625 0.1578947 0.0006201279 0.733031011533333
"31" "GO:1902589" "single-organism organelle organization" 0.1091901 11.79253 22 1.865587 0.2037037 0.002892817 1 1437 12.89572 22 1.705992 0.1145833 0.01530967 0.009965498 1
"32" "GO:0007015" "actin filament organization" 0.01748599 1.888487 7 3.706672 0.06481481 0.002999533 1 194 1.740968 7 4.020753 0.03645833 0.03608247 0.001888932 1
"33" "GO:1900044" "regulation of protein K63-linked ubiquitination" 0.0007424672 0.08018646 2 24.94187 0.01851852 0.003022835 1 9 0.08076653 2 24.76273 0.01041667 0.2222222 0.002767056 1
"34" "GO:1990134" "epithelial cell apoptotic process involved in palatal shelf morphogenesis" 2.839317e-05 0.003066463 1 326.1086 0.009259259 0.003061809 1 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"35" "GO:0016233" "telomere capping" 0.0007554472 0.0815883 2 24.51332 0.01851852 0.003126599 1 13 0.1166628 2 17.14343 0.01041667 0.1538462 0.005855399 1
"36" "GO:0002519" "natural killer cell tolerance induction" 3.068436e-05 0.003313911 1 301.7583 0.009259259 0.003308477 1 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"37" "GO:0032712" "negative regulation of interleukin-3 production" 3.068436e-05 0.003313911 1 301.7583 0.009259259 0.003308477 1 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"38" "GO:0071656" "negative regulation of granulocyte colony-stimulating factor production" 3.068436e-05 0.003313911 1 301.7583 0.009259259 0.003308477 1 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"39" "GO:0007160" "cell-matrix adhesion" 0.009207849 0.9944477 5 5.027917 0.0462963 0.003368896 1 107 0.9602244 5 5.207116 0.02604167 0.04672897 0.002805387 1
"40" "GO:0006302" "double-strand break repair" 0.009217445 0.995484 5 5.022682 0.0462963 0.003383747 1 149 1.337135 5 3.739339 0.02604167 0.03355705 0.01118172 1
"41" "GO:0071461" "cellular response to redox state" 3.259557e-05 0.003520322 1 284.065 0.009259259 0.00351419 1 3 0.02692218 1 37.1441 0.005208333 0.3333333 0.02668254 1
"42" "GO:1902361" "mitochondrial pyruvate transmembrane transport" 3.275572e-05 0.003537618 1 282.6761 0.009259259 0.003531425 1 2 0.01794812 1 55.71615 0.005208333 0.5 0.017868 1
"43" "GO:0070194" "synaptonemal complex disassembly" 3.343862e-05 0.003611371 1 276.9032 0.009259259 0.003604918 1 2 0.01794812 1 55.71615 0.005208333 0.5 0.017868 1
"44" "GO:0021682" "nerve maturation" 3.401047e-05 0.003673131 1 272.2473 0.009259259 0.003666455 1 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"45" "GO:0035212" "cell competition in a multicellular organism" 3.483765e-05 0.003762466 1 265.7831 0.009259259 0.003755463 1 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"46" "GO:1990245" "histone H2A-T120 phosphorylation" 3.483765e-05 0.003762466 1 265.7831 0.009259259 0.003755463 1 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"47" "GO:0031627" "telomeric loop formation" 3.508014e-05 0.003788655 1 263.9459 0.009259259 0.003781554 1 2 0.01794812 1 55.71615 0.005208333 0.5 0.017868 1
"48" "GO:0010519" "negative regulation of phospholipase activity" 0.0008344788 0.09012371 2 22.19172 0.01851852 0.003793889 1 5 0.0448703 2 44.57292 0.01041667 0.4 0.0007870433 0.733031011533333
"49" "GO:0022607" "cellular component assembly" 0.1559134 16.83865 28 1.662841 0.2592593 0.003865129 1 2030 18.21734 29 1.59189 0.1510417 0.01428571 0.008175503 1
"50" "GO:0031323" "regulation of cellular metabolic process" 0.4240069 45.79275 60 1.310251 0.5555556 0.004004854 1 5784 51.90596 64 1.232999 0.3333333 0.01106501 0.03111198 1
"51" "GO:0031392" "regulation of prostaglandin biosynthetic process" 0.0008946037 0.0966172 2 20.70025 0.01851852 0.004341934 1 6 0.05384436 2 37.1441 0.01041667 0.3333333 0.00117359 0.853460727777778
"52" "GO:0002652" "regulation of tolerance induction dependent upon immune response" 4.104229e-05 0.004432567 1 225.6029 0.009259259 0.004422848 1 2 0.01794812 1 55.71615 0.005208333 0.5 0.017868 1
"53" "GO:0017126" "nucleologenesis" 4.189175e-05 0.004524309 1 221.0282 0.009259259 0.004514185 1 2 0.01794812 1 55.71615 0.005208333 0.5 0.017868 1
"54" "GO:0019222" "regulation of metabolic process" 0.4453432 48.09706 62 1.28906 0.5740741 0.004851082 1 6108 54.81355 67 1.222325 0.3489583 0.01096922 0.03208883 1
"55" "GO:0007067" "mitotic nuclear division" 0.01009441 1.090196 5 4.58633 0.0462963 0.004950471 1 158 1.417901 5 3.526338 0.02604167 0.03164557 0.01411928 1
"56" "GO:1901998" "toxin transport" 0.003168675 0.3422169 3 8.766371 0.02777778 0.005070008 1 42 0.3769105 3 7.959449 0.015625 0.07142857 0.006315993 1
"57" "GO:0001911" "negative regulation of leukocyte mediated cytotoxicity" 0.0009984485 0.1078324 2 18.5473 0.01851852 0.005369215 1 17 0.152559 2 13.10968 0.01041667 0.1176471 0.009971879 1
"58" "GO:0061032" "visceral serous pericardium development" 0.001028232 0.1110491 2 18.01006 0.01851852 0.005682444 1 9 0.08076653 2 24.76273 0.01041667 0.2222222 0.002767056 1
"59" "GO:1903052" "positive regulation of proteolysis involved in cellular protein catabolic process" 0.01051013 1.135094 5 4.404921 0.0462963 0.005849055 1 110 0.9871465 5 5.065104 0.02604167 0.04545455 0.003161074 1
"60" "GO:0060192" "negative regulation of lipase activity" 0.001045599 0.1129247 2 17.71092 0.01851852 0.005868875 1 14 0.1256368 2 15.9189 0.01041667 0.1428571 0.006791169 1
"61" "GO:0031342" "negative regulation of cell killing" 0.001061004 0.1145884 2 17.45377 0.01851852 0.006036563 1 20 0.1794812 2 11.14323 0.01041667 0.1 0.01368811 1
"62" "GO:0046168" "glycerol-3-phosphate catabolic process" 5.662544e-05 0.006115548 1 163.5176 0.009259259 0.006097058 1 2 0.01794812 1 55.71615 0.005208333 0.5 0.017868 1
"63" "GO:0036297" "interstrand cross-link repair" 0.001070444 0.115608 2 17.29985 0.01851852 0.006140398 1 18 0.1615331 2 12.38137 0.01041667 0.1111111 0.01115265 1
"64" "GO:0031860" "telomeric 3' overhang formation" 6.26907e-05 0.006770596 1 147.6975 0.009259259 0.006747938 1 4 0.03589624 1 27.85807 0.005208333 0.25 0.03541837 1
"65" "GO:0051125" "regulation of actin nucleation" 0.001127554 0.1217759 2 16.42361 0.01851852 0.006785887 1 26 0.2333255 2 8.571715 0.01041667 0.07692308 0.02260621 1
"66" "GO:0006950" "response to stress" 0.209511 22.62718 34 1.502617 0.3148148 0.006793325 1 2953 26.5004 36 1.35847 0.1875 0.01219099 0.03310364 1
"67" "GO:0060255" "regulation of macromolecule metabolic process" 0.4239006 45.78127 59 1.288737 0.5462963 0.006922045 1 5751 51.60982 62 1.201322 0.3229167 0.01078073 0.05485062 1
"68" "GO:0090038" "negative regulation of protein kinase C signaling" 6.459058e-05 0.006975783 1 143.3531 0.009259259 0.006951732 1 2 0.01794812 1 55.71615 0.005208333 0.5 0.017868 1
"69" "GO:0060271" "cilium assembly" 0.0204789 2.211721 7 3.164956 0.06481481 0.006986255 1 258 2.315307 7 3.023357 0.03645833 0.02713178 0.008879551 1
"70" "GO:0090251" "protein localization involved in establishment of planar polarity" 6.510767e-05 0.007031628 1 142.2146 0.009259259 0.007007191 1 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"71" "GO:1903778" "protein localization to vacuolar membrane" 6.974783e-05 0.007532765 1 132.7534 0.009259259 0.007504726 1 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"72" "GO:0071397" "cellular response to cholesterol" 0.001194833 0.129042 2 15.49883 0.01851852 0.007584046 1 11 0.09871465 2 20.26042 0.01041667 0.1818182 0.0041778 1
"73" "GO:2000521" "negative regulation of immunological synapse formation" 7.141768e-05 0.007713109 1 129.6494 0.009259259 0.007683713 1 2 0.01794812 1 55.71615 0.005208333 0.5 0.017868 1
"74" "GO:2001189" "negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell" 7.141768e-05 0.007713109 1 129.6494 0.009259259 0.007683713 1 2 0.01794812 1 55.71615 0.005208333 0.5 0.017868 1
"75" "GO:0006139" "nucleobase-containing compound metabolic process" 0.2771507 29.93228 42 1.403168 0.3888889 0.007757348 1 3795 34.05656 47 1.380057 0.2447917 0.01238472 0.01118497 1
"76" "GO:0031393" "negative regulation of prostaglandin biosynthetic process" 7.21765e-05 0.007795062 1 128.2863 0.009259259 0.007765038 1 2 0.01794812 1 55.71615 0.005208333 0.5 0.017868 1
"77" "GO:0000183" "chromatin silencing at rDNA" 0.001211469 0.1308387 2 15.286 0.01851852 0.007787633 1 50 0.448703 2 4.457292 0.01041667 0.04 0.07416261 1
"78" "GO:2000522" "positive regulation of immunological synapse formation" 7.346675e-05 0.007934409 1 126.0333 0.009259259 0.007903304 1 2 0.01794812 1 55.71615 0.005208333 0.5 0.017868 1
"79" "GO:2000210" "positive regulation of anoikis" 7.529713e-05 0.00813209 1 122.9696 0.009259259 0.008099418 1 5 0.0448703 1 22.28646 0.005208333 0.2 0.0440762 1
"80" "GO:0000729" "DNA double-strand break processing" 0.001257993 0.1358632 2 14.72069 0.01851852 0.008369965 1 13 0.1166628 2 17.14343 0.01041667 0.1538462 0.005855399 1
"81" "GO:0043170" "macromolecule metabolic process" 0.455129 49.15393 62 1.261344 0.5740741 0.008639325 1 6610 59.31853 74 1.247502 0.3854167 0.01119516 0.01419683 1
"82" "GO:1903595" "positive regulation of histamine secretion by mast cell" 8.067458e-05 0.008712855 1 114.7729 0.009259259 0.008675356 1 2 0.01794812 1 55.71615 0.005208333 0.5 0.017868 1
"83" "GO:0030029" "actin filament-based process" 0.04439718 4.794895 11 2.294106 0.1018519 0.008690512 1 473 4.24473 11 2.591449 0.05729167 0.02325581 0.003752574 1
"84" "GO:0007052" "mitotic spindle organization" 0.00388546 0.4196297 3 7.149161 0.02777778 0.008842813 1 67 0.601262 3 4.989506 0.015625 0.04477612 0.02240121 1
"85" "GO:0030036" "actin cytoskeleton organization" 0.03842857 4.150285 10 2.409473 0.09259259 0.008866332 1 417 3.742183 10 2.672237 0.05208333 0.02398082 0.004556242 1
"86" "GO:1903364" "positive regulation of cellular protein catabolic process" 0.01172449 1.266245 5 3.948682 0.0462963 0.009124424 1 127 1.139706 5 4.387098 0.02604167 0.03937008 0.005814244 1
"87" "GO:1902850" "microtubule cytoskeleton organization involved in mitosis" 0.00394127 0.4256571 3 7.047926 0.02777778 0.009189623 1 69 0.6192101 3 4.844882 0.015625 0.04347826 0.02418569 1
"88" "GO:0044782" "cilium organization" 0.02161483 2.334401 7 2.998627 0.06481481 0.009236982 1 284 2.548633 7 2.746571 0.03645833 0.02464789 0.01446143 1
"89" "GO:0080090" "regulation of primary metabolic process" 0.4201416 45.37529 58 1.278229 0.537037 0.009422404 1 5742 51.52905 63 1.222611 0.328125 0.01097179 0.03831204 1
"90" "GO:0016340" "calcium-dependent cell-matrix adhesion" 8.832169e-05 0.009538742 1 104.8356 0.009259259 0.00949381 1 2 0.01794812 1 55.71615 0.005208333 0.5 0.017868 1
"91" "GO:0061310" "canonical Wnt signaling pathway involved in cardiac neural crest cell differentiation involved in heart development" 8.84486e-05 0.009552449 1 104.6852 0.009259259 0.009507387 1 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"92" "GO:2000055" "positive regulation of Wnt signaling pathway involved in dorsal/ventral axis specification" 8.84486e-05 0.009552449 1 104.6852 0.009259259 0.009507387 1 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"93" "GO:2000149" "negative regulation of planar cell polarity pathway involved in ventricular septum morphogenesis" 8.84486e-05 0.009552449 1 104.6852 0.009259259 0.009507387 1 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"94" "GO:2000151" "negative regulation of planar cell polarity pathway involved in cardiac muscle tissue morphogenesis" 8.84486e-05 0.009552449 1 104.6852 0.009259259 0.009507387 1 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"95" "GO:2000162" "negative regulation of planar cell polarity pathway involved in cardiac right atrium morphogenesis" 8.84486e-05 0.009552449 1 104.6852 0.009259259 0.009507387 1 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"96" "GO:2000164" "negative regulation of planar cell polarity pathway involved in outflow tract morphogenesis" 8.84486e-05 0.009552449 1 104.6852 0.009259259 0.009507387 1 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"97" "GO:2000166" "negative regulation of planar cell polarity pathway involved in pericardium morphogenesis" 8.84486e-05 0.009552449 1 104.6852 0.009259259 0.009507387 1 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"98" "GO:2000168" "negative regulation of planar cell polarity pathway involved in neural tube closure" 8.84486e-05 0.009552449 1 104.6852 0.009259259 0.009507387 1 1 0.008974059 1 111.4323 0.005208333 1 0.008974059 1
"99" "GO:0000973" "posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery" 8.899892e-05 0.009611883 1 104.0379 0.009259259 0.009566261 1 3 0.02692218 1 37.1441 0.005208333 0.3333333 0.02668254 1
"100" "GO:0010833" "telomere maintenance via telomere lengthening" 0.001377134 0.1487305 2 13.44714 0.01851852 0.009947244 1 23 0.2064034 2 9.689764 0.01041667 0.08695652 0.01790932 1
"101" "GO:0001701" "in utero embryonic development" 0.04547263 4.911044 11 2.23985 0.1018519 0.01027548 1 438 3.930638 11 2.798528 0.05729167 0.02511416 0.002088358 1
"102" "GO:0002859" "negative regulation of natural killer cell mediated cytotoxicity directed against tumor cell target" 9.623772e-05 0.01039367 1 96.21237 0.009259259 0.01034034 1 3 0.02692218 1 37.1441 0.005208333 0.3333333 0.02668254 1
