file,classifications.SupportedRear.time,classifications.SupportedRear.count,classifications.None.time,classifications.None.count,classifications.UnsupportedRear.time,classifications.UnsupportedRear.count,bodycentre.raw.distance,bodycentre.distance.moving,bodycentre.raw.speed,bodycentre.speed.moving,bodycentre.time.moving,bodycentre.total.time,bodycentre.time.stationary,bodycentre.percentage.moving,bodycentre.light.raw.distance,bodycentre.light.distance.moving,bodycentre.light.raw.speed,bodycentre.light.speed.moving,bodycentre.light.time.moving,bodycentre.light.total.time,bodycentre.light.time.stationary,bodycentre.light.percentage.moving,bodycentre.light.transitions,bodycentre.dark.raw.distance,bodycentre.dark.distance.moving,bodycentre.dark.raw.speed,bodycentre.dark.speed.moving,bodycentre.dark.time.moving,bodycentre.dark.total.time,bodycentre.dark.time.stationary,bodycentre.dark.percentage.moving,bodycentre.dark.transitions,bodycentre..transitions.light.to.dark,bodycentre.latency.to.entry.dark
74_02_A_250703150234DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,189.44,118.5,394.4,124.5,8.72,13,4457.217147,3426.647431,7.511826121,11.52976928,297.2,593.36,296.16,50.08763651,1188.645552,996.5521726,8.820462688,12.61458446,79,134.76,55.76,58.62273672,47,3223.692661,2408.723171,7.174603091,11.17633246,215.52,449.32,233.8,47.96581501,39,16,7
73_01_A_250703150216DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,194.64,117,395.92,119,2,8,6117.037352,5447.307437,10.30915018,14.84927335,366.84,593.36,226.52,61.82418768,2917.459752,2677.068366,12.08958956,16.13858431,165.88,241.32,75.44,68.73860434,98,3183.792537,2765.94183,9.165685562,13.79935058,200.44,347.36,146.92,57.70382312,97,44,0.04
72_04_A_250703143918DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,212.72,120,360.32,137,19.84,35,5079.239072,4340.520494,8.555516561,12.63248106,343.6,593.68,250.08,57.876297,2230.823674,1904.499142,8.846857845,13.24408305,143.8,252.16,108.36,57.02728426,68,2831.143413,2433.023019,8.43104054,12.21397098,199.2,335.8,136.6,59.32102442,54,25,0.04
71_03_A_250703143858DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,183.96,124,406.52,126,2.48,10,4947.154009,4119.045313,8.33190853,12.57800572,327.48,593.76,266.28,55.15359741,1919.251349,1688.627051,9.864573136,13.91878545,121.32,194.56,73.24,62.35608553,57,2990.567298,2414.393497,7.668121278,11.84222826,203.88,390,186.12,52.27692308,65,24,4.28
70_02_A_250703143835DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,221.08,107.5,354.88,124.5,16.84,24,4661.999327,3755.886533,7.853772451,11.96599507,313.88,593.6,279.72,52.87735849,1323.327842,1140.644395,9.54781993,13.76260129,82.88,138.6,55.72,59.7979798,51,3306.765842,2599.603941,7.397686448,11.35991933,228.84,447,218.16,51.19463087,47,19,0.04
69_01_A_250703143809DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,198.52,126.5,382.64,139.5,11.48,18,4651.707937,3800.62382,7.838548021,12.18461086,311.92,593.44,281.52,52.56133729,2112.431863,1729.591296,8.033282109,12.66914222,136.52,262.96,126.44,51.91664131,64,2505.572354,2058.082817,7.851505246,11.8662524,173.44,319.12,145.68,54.34946102,53,22,0.04
68_04_A_250703141429DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,161,91,418,106,13.44,21,4650.757002,3830.180154,7.839587691,12.25736096,312.48,593.24,280.76,52.67345425,1544.693001,1357.175485,9.625454893,14.47499451,93.76,160.48,66.72,58.42472582,45,3097.424139,2473.004669,7.212705241,11.30671484,218.72,429.44,210.72,50.9314456,39,20,6.28
67_03_A_250703141359DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,119.56,74.5,465.12,85.5,8.04,12,3770.133579,2802.039614,6.352159286,11.61322784,241.28,593.52,352.24,40.65237903,2419.306818,1764.074023,5.987197629,11.9355482,147.8,404.08,256.28,36.57691546,28,1291.102841,1018.195215,7.369308456,11.16442122,91.2,175.2,84,52.05479452,5,1,0.04
66_02_A_250703141340DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,195.48,122.5,386.36,133.5,10.44,19,5151.63615,4309.482746,8.686241569,12.73638357,338.36,593.08,254.72,57.05132528,1704.205019,1531.691493,10.5016331,13.91940652,110.04,162.28,52.24,67.80872566,50,3405.818339,2754.648998,8.050057528,12.1930285,225.92,423.08,197.16,53.39888437,58,22,1.92
65_01_A_250703141322DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,250.08,144,331.36,157,11.64,20,5964.918202,5245.617847,10.04397892,14.63294423,358.48,593.88,235.4,60.36236277,2907.768313,2518.154615,9.582679649,15.1113455,166.64,303.44,136.8,54.91695228,93,3022.599004,2711.160114,10.71387709,14.29936769,189.6,282.12,92.52,67.20544449,89,38,0.04
64_04_A_250703135409DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,215.2,123,372.76,129,4.96,10,5490.768851,4770.387404,9.248077968,13.95176475,341.92,593.72,251.8,57.5894361,2151.654542,1885.042932,9.823112411,15.53265435,121.36,219.04,97.68,55.40540541,74,3326.53353,2877.926618,8.946142238,13.11247776,219.48,371.84,152.36,59.02538726,76,35,0.04
63_03_A_250703135348DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,196.96,118,382.36,132,12.96,18,5444.866138,4674.598171,9.180660515,13.10586007,356.68,593.08,236.4,60.14028462,2077.34026,1812.983694,9.61375537,13.52165643,134.08,216.08,82,62.05109219,87,3306.888958,2827.90139,9.101863256,12.95063835,218.36,363.32,144.96,60.10128812,89,35,0.04
62_02_A_250703135329DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,162.32,86,413.88,104,16.6,21,4020.781919,3012.677773,6.773554445,11.40647347,264.12,593.6,329.48,44.49460916,1106.86705,939.0059635,9.016512299,13.53034529,69.4,122.76,53.36,56.53307266,46,2901.141343,2068.00845,6.205915425,10.66423499,193.92,467.48,273.56,41.48198853,44,19,9.28
61_01_A_250703135304DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,192.28,120.5,380.76,133.5,19.4,24,5453.937671,4725.536936,9.193475947,13.04388025,362.28,593.24,230.96,61.06803317,2278.806678,2017.043942,10.30015674,14.48609554,139.24,221.24,82,62.93617791,80,3139.128935,2695.709486,8.651551469,12.20440731,220.88,362.84,141.96,60.87531694,75,31,0.04
60_04_A_250703133143DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,204.72,122,377.4,126,10.76,22,5189.22503,4423.735604,8.74077791,13.35991666,331.12,593.68,262.56,55.77415443,1915.000924,1596.24066,8.245784207,13.81787275,115.52,232.24,116.72,49.74164657,71,3251.016748,2820.473482,9.179514196,13.14048398,214.64,354.16,139.52,60.6053761,65,29,0.04
59_03_A_250703133125DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,160.6,105,419.84,117,11.96,23,4239.32213,3293.012328,7.1465309,11.62458461,283.28,593.2,309.92,47.75455158,1339.443527,1139.524445,8.823738649,12.72927217,89.52,151.8,62.28,58.97233202,40,2852.110459,2134.876164,6.62911505,11.16800672,191.16,430.24,239.08,44.43101525,44,14,0.04
58_02_A_250703133055DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,215.4,108,369.08,118.5,8.4,15.5,4862.382079,4068.907653,8.190240667,11.6055552,350.6,593.68,243.08,59.05538337,2006.467159,1696.240892,8.503420746,12.52392862,135.44,235.96,100.52,57.39955925,55,2815.960105,2352.225592,8.071428874,11.08076876,212.28,348.88,136.6,60.84613621,55,20,0.04
57_01_A_250703133028DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,220.52,125.5,349.12,147.5,23.56,27,5292.265411,4535.087358,8.909537729,13.00047976,348.84,594,245.16,58.72727273,2485.875327,2058.783241,8.246667089,13.24487417,155.44,301.44,146,51.56581741,101,2773.055778,2462.61074,9.765656355,12.87706934,191.24,283.96,92.72,67.34751373,89,40,0.04
