file;classifications.background.time;classifications.background.count;classifications.SupportedRear.time;classifications.SupportedRear.count;classifications.UnsupportedRear.time;classifications.UnsupportedRear.count;classifications.Grooming.time;classifications.Grooming.count;bodycentre.raw.distance;bodycentre.distance.moving;bodycentre.raw.speed;bodycentre.speed.moving;bodycentre.time.moving;bodycentre.total.time;bodycentre.time.stationary;bodycentre.percentage.moving;bodycentre.center.raw.distance;bodycentre.center.distance.moving;bodycentre.center.raw.speed;bodycentre.center.speed.moving;bodycentre.center.time.moving;bodycentre.center.total.time;bodycentre.center.time.stationary;bodycentre.center.percentage.moving;bodycentre.center.transitions;bodycentre.periphery.raw.distance;bodycentre.periphery.distance.moving;bodycentre.periphery.raw.speed;bodycentre.periphery.speed.moving;bodycentre.periphery.time.moving;bodycentre.periphery.total.time;bodycentre.periphery.time.stationary;bodycentre.periphery.percentage.moving;bodycentre.periphery.transitions;bodycentre.corners.raw.distance;bodycentre.corners.distance.moving;bodycentre.corners.raw.speed;bodycentre.corners.speed.moving;bodycentre.corners.time.moving;bodycentre.corners.total.time;bodycentre.corners.time.stationary;bodycentre.corners.percentage.moving;bodycentre.corners.transitions
X28_OFT2_fathers_m_ID1_240306104951DLC_01.csv;388.28;183.5;92.68;96;69.2;103.5;42.56;61;5189.341924;4417.557767;8.743331184;14.66068554;301.32;593.52;292.2;50.76829761;742.7112346;696.9087132;15.51193055;22.36549144;31.16;47.88;16.72;65.07936508;64;2857.076994;2394.867521;8.066281746;12.59661015;190.12;354.2;164.08;53.67588933;157;1593.123869;1213.02568;6.316906698;11.00749255;110.2;252.2;142;43.69547978;159
X28_OFT2_fathers_m_ID10_240306112718DLC_02.csv;349.44;240;125.6;184;87.48;179;29.88;86;8454.570093;7877.273343;14.25247824;18.8415455;418.08;593.2;175.12;70.47875927;591.0212549;570.8247246;19.80634232;23.98423213;23.8;29.84;6.04;79.75871314;52;5837.653511;5336.746548;12.68172904;17.31360806;308.24;460.32;152.08;66.96211331;184;2438.425767;2094.544963;9.460062722;13.20646257;158.6;257.76;99.16;61.53010552;269
X28_OFT2_fathers_m_ID11_240306112738DLC_03.csv;359.8;221.5;91.56;124;97.52;148;43.48;97.5;5932.985848;5120.166675;10.00233638;15.36664668;333.2;593.16;259.96;56.17371367;516.6942915;496.8474276;18.55942139;22.46145694;22.12;27.84;5.72;79.45402299;56;3557.213622;2952.383069;8.676130786;13.33024684;221.48;410;188.52;54.0195122;191;1790.619662;1368.310691;7.094372671;11.31583436;120.92;252.4;131.48;47.90808241;172
X28_OFT2_fathers_m_ID12_240306112819DLC_04.csv;416.36;123;23.56;40;38.04;62;115.24;74;3042.217447;2105.183794;5.121578194;14.35613607;146.64;594;447.36;24.68686869;147.1720136;141.7788748;19.46719757;23.16648281;6.12;7.56;1.44;80.95238095;16;1926.507383;1210.009905;4.634146501;12.84511577;94.2;415.72;321.52;22.65948234;99;1284.251034;657.2951385;3.533598488;10.54709786;62.32;363.44;301.12;17.14725952;91
X28_OFT2_fathers_m_ID13_240306114632DLC_01.csv;340.64;210;121.64;102;95.84;119;34.36;63;5098.555783;4172.298396;8.593844024;14.8459237;281.04;593.28;312.24;47.37055016;657.5410126;615.8173592;16.52113097;22.84189018;26.96;39.8;12.84;67.73869347;58;2959.194712;2336.798559;7.759583365;12.55263515;186.16;381.36;195.2;48.8147682;112;1612.480259;1152.78788;6.248954654;10.61108137;108.64;258.04;149.4;42.10199969;144
X28_OFT2_fathers_m_ID14_240306114649DLC_02.csv;417.24;160.5;69.44;79;52.24;79;53.48;59.5;4066.218235;3249.576891;6.854717186;13.31793808;244;593.2;349.2;41.13283884;268.971941;257.1945241;12.80818766;17.7131215;14.52;21;6.48;69.14285714;30;2460.218707;1854.16137;6.242308705;12.46746484;148.72;394.12;245.4;37.73470009;135;1342.325569;926.4271351;5.434516476;10.44214535;88.72;247;158.28;35.91902834;128
X28_OFT2_fathers_m_ID15_240306114722DLC_03.csv;427.88;110.5;41.64;40;34.68;48.5;88.36;76;2635.077889;1853.518595;4.440942916;13.20546163;140.36;593.36;453;23.65511662;558.646006;419.8831675;4.737500051;14.12796661;29.72;117.92;88.2;25.20352782;38;1233.876844;837.4910958;4.508465521;12.06064366;69.44;273.68;204.24;25.37269804;65;582.5048951;343.0284064;3.968016997;10.40741524;32.96;146.8;113.84;22.45231608;51
X28_OFT2_fathers_m_ID16_240306114745DLC_04.csv;362;179;65.76;78;106.2;109;59.12;58;4428.560856;3508.655368;7.456996121;14.03686737;249.96;593.88;343.92;42.08931097;475.8711742;361.2857333;6.307942394;21.7642008;16.6;75.44;58.84;22.00424178;33;2916.718261;2249.477485;7.152325309;12.73193052;176.68;407.8;231.12;43.32515939;133;1573.576424;1088.454855;5.735444028;10.50632099;103.6;274.36;170.76;37.7606065;146
X28_OFT2_fathers_m_ID17_240306120624DLC_01.csv;375.24;176.5;95.12;108;58.84;75.5;63.4;75;4704.772337;3777.711166;7.928500736;14.44741918;261.48;593.4;331.92;44.06471183;413.4634701;385.8235612;13.00199592;19.48603845;19.8;31.8;12;62.26415094;40;3185.28927;2520.946014;7.828571742;13.73962292;183.48;406.88;223.4;45.09437672;117;1600.536412;1161.413772;6.412405498;11.53111371;100.72;249.6;148.88;40.3525641;144
X28_OFT2_fathers_m_ID18_240306120646DLC_02.csv;362.96;168.5;97.36;92;97.76;123;34.56;46.5;4874.049594;3949.510859;8.213213794;14.34516512;275.32;593.44;318.12;46.39390671;470.5234643;442.749666;15.66323117;21.28604163;20.8;30.04;9.24;69.24101198;50;2927.903307;2210.429174;6.98583534;12.5621117;175.96;419.12;243.16;41.9832029;140;1622.948627;1112.42125;5.82369968;10.50246649;105.92;278.68;172.76;38.00775083;149
X28_OFT2_fathers_m_ID19_240306120701DLC_03.csv;368.92;169;71.84;108;36.4;74;115.04;95;3273.553394;2270.971749;5.520326128;14.58743416;155.68;593;437.32;26.2529511;166.6231732;160.3915362;17.00236461;19.85043765;8.08;9.8;1.72;82.44897959;14;2660.875537;1729.044866;5.020898818;14.02534771;123.28;529.96;406.68;23.26213299;58;1342.834505;741.1563627;4.088523035;11.07525946;66.92;328.44;261.52;20.37510656;102
X28_OFT2_fathers_m_ID2_240306105007DLC_02.csv;373.12;194;67.96;93;95.84;117;55.28;74;5153.924484;4281.66683;8.691272316;15.14240639;282.76;593;310.24;47.68296796;725.4560636;616.6743404;9.416615571;18.5521763;33.24;77.04;43.8;43.14641745;66;2686.231212;2190.208376;8.177761848;13.65807169;160.36;328.48;168.12;48.81880175;145;1430.67108;1070.243891;6.715504507;11.22790486;95.32;213.04;117.72;44.74277131;138
X28_OFT2_fathers_m_ID20_240306120720DLC_04.csv;400.68;151;61;73;31.16;67;100;87;3556.518926;2656.898722;5.991036531;13.9367327;190.64;593.64;403;32.11373897;140.1315823;129.5341662;13.4741906;19.98984046;6.48;10.4;3.92;62.30769231;16;2593.742169;1873.160666;5.792188854;13.16531252;142.28;447.8;305.52;31.773113;84;1418.661943;840.7715275;4.120184548;10.56776681;79.56;344.32;264.76;23.10641264;102
X28_OFT2_fathers_m_ID21_240306122527DLC_01.csv;407.08;136.5;82.56;63;47;69;55.92;51.5;3942.004618;2995.546433;6.643529422;12.84099122;233.28;593.36;360.08;39.31508696;497.8469016;443.6386197;10.00496185;16.1911905;27.4;49.76;22.36;55.06430868;57;2089.259143;1488.956895;6.155017508;11.40788305;130.52;339.44;208.92;38.45156729;138;1065.494894;638.2312095;4.769448942;10.03508191;63.6;223.4;159.8;28.4691137;100
X28_OFT2_fathers_m_ID22_240306122550DLC_02.csv;418;151;75.2;77;61.36;76;38.48;44;4285.005519;3472.785408;7.215757644;17.06360755;203.52;593.84;390.32;34.27185774;528.284239;499.4034754;13.2203263;20.33401773;24.56;39.96;15.4;61.46146146;56;2653.375906;2007.533344;6.236194196;15.98863766;125.56;425.48;299.92;29.51020024;125;1340.364497;880.1937294;4.58150293;12.72691916;69.16;292.56;223.4;23.6395953;127
X28_OFT2_fathers_m_ID23_240306122622DLC_03.csv;415.2;150.5;58.44;70;62.72;89;55.84;54.5;4149.211676;3234.313516;6.996984277;13.94822113;231.88;593;361.12;39.10286678;454.9460277;392.5188708;8.513211596;15.23753381;25.76;53.44;27.68;48.20359281;36;2402.360183;1760.303432;6.396741354;13.03928468;135;375.56;240.56;35.94632016;136;1246.778682;802.8603789;5.227145238;10.95606412;73.28;238.52;165.24;30.72279054;112
X28_OFT2_fathers_m_ID24_240306122646DLC_04.csv;368.08;211;78.12;98.5;116.28;170;30.52;72.5;5696.389278;4904.144677;9.593110943;15.03785317;326.12;593.8;267.68;54.92084877;682.1812329;654.9167336;17.36713933;21.71474581;30.16;39.28;9.12;76.78207739;76;3360.536482;2839.862856;8.921462468;13.69268494;207.4;376.68;169.28;55.05999788;144;1843.620622;1426.056891;6.91426876;11.0478532;129.08;266.64;137.56;48.40984098;174
X28_OFT2_fathers_m_ID25_240306124431DLC_01.csv;442.8;124;63.48;68;39.76;62;47.04;52;3108.527885;2138.989773;5.234269355;12.57046176;170.16;593.88;423.72;28.65225298;214.7543796;191.2578747;11.16187004;19.67673608;9.72;19.24;9.52;50.51975052;30;2040.518477;1235.57544;4.435524036;11.24886599;109.84;460.04;350.2;23.87618468;84;1039.245017;492.7791552;3.482257798;10.02398607;49.16;298.44;249.28;16.47232274;79
X28_OFT2_fathers_m_ID26_240306124450DLC_02.csv;361.68;214;139.44;171.5;60.16;118.5;31.92;75;6328.95718;5543.860946;10.65481007;16.10838257;344.16;594;249.84;57.93939394;565.408139;541.0100427;17.36511484;22.42993543;24.12;32.56;8.44;74.07862408;52;4489.951488;3801.594495;9.434256783;14.65759753;259.36;475.92;216.56;54.49655404;140;1965.856885;1536.754267;7.487267232;12.2119697;125.84;262.56;136.72;47.92809263;182
X28_OFT2_fathers_m_ID27_240306124503DLC_03.csv;423.24;157.5;57.4;82.5;57.8;93;53.84;68;3270.51751;2381.855696;5.514462653;14.79781123;160.96;593.08;432.12;27.13967762;238.6291605;217.4664806;8.251354097;21.92202425;9.92;28.92;19;34.30152144;34;2249.183782;1494.585565;4.77128507;13.45988441;111.04;471.4;360.36;23.55536699;100;1308.707654;674.1469666;3.538195237;10.92974978;61.68;369.88;308.2;16.6756786;104
X28_OFT2_fathers_m_ID28_240306124520DLC_04.csv;333.48;219.5;119.52;117.5;104.88;149;35.04;68;4840.636697;3890.253475;8.153063223;13.63470305;285.32;593.72;308.4;48.05632285;536.9125011;488.1043585;12.35986421;18.10476107;26.96;43.44;16.48;62.0626151;58;2822.911496;2096.288282;6.904009724;11.89720932;176.2;408.88;232.68;43.09332812;140;1468.876522;1002.826665;6.061722192;10.68655866;93.84;242.32;148.48;38.72565203;127
X28_OFT2_fathers_m_ID29_240306130241DLC_01.csv;348.88;175.5;141.2;129;47.24;84.5;55.56;47;5723.346121;4839.87079;9.640456342;16.51382145;293.08;593.68;300.6;49.36666217;338.2583141;334.929077;24.87193486;26.92355924;12.44;13.6;1.16;91.47058824;34;4212.809661;3437.485244;8.554970476;15.08992644;227.8;492.44;264.64;46.25944277;140;1888.530951;1375.356717;6.616209891;11.98045921;114.8;285.44;170.64;40.21860987;188
X28_OFT2_fathers_m_ID3_240306105026DLC_03.csv;398;143;71.88;84;15.08;31;107.44;75;3001.428193;2185.940291;5.059723859;14.88654516;146.84;593.2;446.36;24.75387728;116.6343884;112.0458221;19.31032921;25.69858304;4.36;6.04;1.68;72.18543046;14;2579.339088;1809.672975;4.642773216;14.27637247;126.76;555.56;428.8;22.81661747;44;1241.954719;665.7639253;3.201244249;11.16304368;59.64;387.96;328.32;15.37271884;92
X28_OFT2_fathers_m_ID30_240306130322DLC_02.csv;428.6;155.5;68.88;70.5;43.4;73;51.4;64;3630.241794;2705.144423;6.120998505;13.58549831;199.12;593.08;393.96;33.57388548;435.6914412;373.4923716;9.406119196;16.23879876;23;46.32;23.32;49.65457686;44;2261.392631;1593.831103;5.637133889;12.93274183;123.24;401.16;277.92;30.72090936;110;1089.795662;655.5168056;4.525729492;10.88175308;60.24;240.8;180.56;25.0166113;113
X28_OFT2_fathers_m_ID4_240306105049DLC_04.csv;454.6;122;25.04;35;10.72;18;102.12;94;2264.645425;1479.019378;3.817161248;13.42610183;110.16;593.28;483.12;18.56796117;103.7845146;102.3751565;16.95825403;18.41279793;5.56;6.12;0.56;90.8496732;10;1759.404127;1032.612703;3.327667058;12.36365784;83.52;528.72;445.2;15.79664094;58;1088.932077;458.431392;2.368685454;10.52413664;43.56;459.72;416.16;9.475332811;68
X28_OFT2_fathers_m_ID5_240306110804DLC_01.csv;416.08;109;49.44;58;38.28;67;88.72;50;2816.053745;1953.756688;4.746264654;13.24042212;147.56;593.32;445.76;24.8702218;300.4255975;275.8227484;11.94060403;16.53613599;16.68;25.16;8.48;66.29570747;32;1753.934477;1011.567998;3.646433425;11.3864025;88.84;481;392.16;18.46985447;71;962.3735443;476.3077722;3.33277997;10.30077362;46.24;288.76;242.52;16.01329824;81
X28_OFT2_fathers_m_ID6_240306110823DLC_02.csv;433.84;139;26.12;39;72.32;80;60.04;46;4191.690886;3343.373114;7.067188572;15.4986701;215.72;593.12;377.4;36.37038036;570.4543572;484.6101056;7.557688887;18.27338256;26.52;75.48;48.96;35.13513514;54;1961.741362;1584.576057;7.867105238;14.06262032;112.68;249.36;136.68;45.18768046;136;928.8820781;635.4794012;5.725357977;12.11821894;52.44;162.24;109.8;32.32248521;130
X28_OFT2_fathers_m_ID7_240306110839DLC_03.csv;360.72;239;136.16;176;54.72;134;40.92;72;7162.935598;6487.488867;12.07263466;16.8909833;384.08;593.32;209.24;64.73403897;768.4233081;753.942512;24.04328248;27.92379674;27;31.96;4.96;84.48060075;68;4664.768739;4116.949099;10.70392092;15.045129;273.64;435.8;162.16;62.79027077;165;2065.575204;1668.831415;7.997426065;11.93045049;139.88;258.28;118.4;54.15827784;199
X28_OFT2_fathers_m_ID8_240306110857DLC_04.csv;385.32;188;91.24;111;65.52;97;50.92;71;3896.203833;2911.156476;6.561474963;14.14831102;205.76;593.8;388.04;34.65139778;325.6430656;254.40759;7.110110602;15.94032519;15.96;45.8;29.84;34.84716157;30;2667.190623;1909.48805;6.256898338;13.03582776;146.48;426.28;279.8;34.36239092;110;1278.189;832.8750855;5.428015116;11.32855122;73.52;235.48;161.96;31.22133515;121
X28_OFT2_fathers_m_ID9_240306112659DLC_01.csv;401.8;137;62.6;72;45.44;63;82.8;78;3438.461367;2499.266215;5.794117968;13.84788461;180.48;593.44;412.96;30.41251011;258.2931224;187.8403399;6.483261105;14.44925691;13;39.84;26.84;32.63052209;18;2381.47768;1597.661699;5.002683975;12.50909567;127.72;476.04;348.32;26.82967818;88;1280.48289;714.323138;3.902959308;9.932190461;71.92;328.08;256.16;21.92148257;100
