"","Cage","Sex","Size","Group","HomeCageID","TimePoint","Sac.Consum....","Batch"
"1","C1","females",3,"stressed PROTAC",580949,1,82.66068759,1
"2","C1","females",3,"stressed PROTAC",580949,2,74.13554633,1
"3","C1","females",3,"stressed PROTAC",580949,3,92.9122807,1
"4","C1","females",3,"stressed PROTAC",580949,4,86.06896552,1
"5","C2","females",3,"non-stressed DMSO",579768,1,83.63211224,1
"6","C2","females",3,"non-stressed DMSO",579768,2,77.74607703,1
"7","C2","females",3,"non-stressed DMSO",579768,3,86.27156789,1
"8","C2","females",3,"non-stressed DMSO",579768,4,82.230869,1
"9","C3","females",3,"non-stressed DMSO",580444,1,87.41204066,1
"10","C3","females",3,"non-stressed DMSO",580444,2,71.24856816,1
"11","C3","females",3,"non-stressed DMSO",580444,3,90.60181369,1
"12","C3","females",3,"non-stressed DMSO",580444,4,80.28350515,1
"13","C4","females",2,"stressed DMSO",580945,1,72.53218884,1
"14","C4","females",2,"stressed DMSO",580945,2,72.05513784,1
"15","C4","females",2,"stressed DMSO",580945,3,78.62745098,1
"16","C4","females",2,"stressed DMSO",580945,4,75.40500736,1
"17","C5","females",2,"stressed DMSO",580945,1,71.44351464,1
"18","C5","females",2,"stressed DMSO",580945,2,66.73469388,1
"19","C5","females",2,"stressed DMSO",580945,3,81.73168411,1
"20","C5","females",2,"stressed DMSO",580945,4,73.00884956,1
"21","C6","females",2,"non-stressed PROTAC",579788,1,84.02607987,1
"22","C6","females",2,"non-stressed PROTAC",579788,2,76.3963964,1
"23","C6","females",2,"non-stressed PROTAC",579788,3,89.42161339,1
"24","C6","females",2,"non-stressed PROTAC",579788,4,76.55737705,1
"25","C7","females",2,"non-stressed PROTAC",579788,1,85.62548563,1
"26","C7","females",2,"non-stressed PROTAC",579788,2,81.20893561,1
"27","C7","females",2,"non-stressed PROTAC",579788,3,88.78177038,1
"28","C7","females",2,"non-stressed PROTAC",579788,4,80.67754078,1
"29","C8","females",3,"stressed DMSO",580947,1,65.76131687,1
"30","C8","females",3,"stressed DMSO",580947,2,72.5,1
"31","C8","females",3,"stressed DMSO",580947,3,88.0353501,1
"32","C8","females",3,"stressed DMSO",580947,4,76.88172043,1
"33","C9","females",2,"stressed DMSO",580947,1,79.04191617,1
"34","C9","females",2,"stressed DMSO",580947,2,70.43478261,1
"35","C9","females",2,"stressed DMSO",580947,3,86.80800942,1
"36","C9","females",2,"stressed DMSO",580947,4,73.23943662,1
"37","C10","females",3,"non-stressed DMSO",579777,1,88.03854875,1
"38","C10","females",3,"non-stressed DMSO",579777,2,78.22445561,1
"39","C10","females",3,"non-stressed DMSO",579777,3,91.08910891,1
"40","C10","females",3,"non-stressed DMSO",579777,4,80.94405594,1
"41","C11","females",2,"non-stressed DMSO",579777,1,82.92919496,1
"42","C11","females",2,"non-stressed DMSO",579777,2,58.50091408,1
